 f,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Ética Empresarial y Resp. Soc.,Maestría en Administración de Proyectos,1217,NR 02,2023-01-21,2023-04-01,Sábado,8:00:00 ,11:00:00 
Dirección Estratégica,Maestría en Administración de Proyectos,1230,NR 03,2023-01-20,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Administración de Proyectos,1232,NR 09,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Administración de Proyectos,1229,NR 02,2023-01-20,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Administración de Proyectos,1231,R 37,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Técnicas y Herramientas para,Maestría en Administración de Proyectos,1084,R 29,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Gestión de Riesgos en Proyecto,Maestría en Administración de Proyectos,1083,R 28,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Impactos Organizacionales y Cu,Maestría en Administración de Proyectos,1092,R 32,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Finanzas en la Organización,Maestría en Administración de Proyectos,1082,R 28,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ejecución de la Estrategia y D,Maestría en Administración de Proyectos,1090,R 32,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Seminario de preparación para,Maestría en Administración de Proyectos,1085,R 29,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00
Habilidades Interpersonales pa,Maestría en Administración de Proyectos,1095,R 34,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Habilidades Interpersonales pa,Maestría en Administración de Proyectos,1289,R 43,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Seminario de Casos de Negocio,Maestría en Administración de Proyectos,1094,R 34,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Seminario de Casos de Negocio,Maestría en Administración de Proyectos,1290,R 43,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Organizaciones Ambidiestras,Maestría en Administración de Proyectos,1168,NR 05,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Metodologías Ágiles para la In,Maestría en Administración de Proyectos,1167,NR 05,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Big Data y Megatendencias,Maestría en Administración de Proyectos,1166,NR 05,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Finanzas,1170,R 43,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Finanzas,1171,NR 09,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Finanzas,1209,NR 03,2023-01-21,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Finanzas,1119,NR 02,2023-01-21,2023-04-01,Sábado,8:00:00 ,11:00:00 
Dirección Estratégica,Maestría en Finanzas,1221,NR 03,2023-01-20,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Finanzas,1175,NR 09,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Finanzas,1118,NR 02,2023-01-20,2023-04-01,Sábado,11:00:00 ,14:00:00 
Dirección Estratégica,Maestría en Finanzas,1173,R 37,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Entorno Económico ,Maestría en Finanzas,1120,NR 03,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Métodos Cuantitativos ,Maestría en Finanzas,1121,NR 03,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Contabilidad Financiera,Maestría en Finanzas,1113,R 36,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Análisis Financiero,Maestría en Finanzas,1112,R 36,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Analítica de Datos Financieros,Maestría en Finanzas,1122,NR 02,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Finanzas Corporativas,Maestría en Finanzas,1123,NR 02,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Valuación de Instrumentos de R,Maestría en Finanzas,1115,BUSNS_LAB,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Valuación de Instrumentos de R,Maestría en Finanzas,1114,BUSNS_LAB,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Valuación de Instrumentos Deri,Maestría en Finanzas,1124,BUSNS_LAB,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Administración de Portafolios,Maestría en Finanzas,1125,BUSNS_LAB,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
"Control Interno, Costos y Pres",Maestría en Finanzas,1116,NR 01,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Tesorería y Sistema Bancario,Maestría en Finanzas,1117,NR 01,2023-01-21,2023-04-01,Sábado,11:00:00 ,14:00:00 
Impuestos Corporativos,Maestría en Finanzas,1126,NR 06,2023-04-21,2023-07-01,Sábado,8:00:00 ,11:00:00 
Derecho Corporativo,Maestría en Finanzas,1127,NR 06,2023-04-22,2023-06-24,Sábado,11:00:00 ,14:00:00 
Ética Empresarial y Responsabi,Maestría en Impuestos,1212,NR 09,2023-01-20,2023-04-01,Sábado,8:00:00 ,11:00:00 
Ética Empresarial y Responsabi,Maestría en Impuestos,1210,NR 02,2023-01-21,2023-04-01,Sábado,8:00:00 ,11:00:00 
